f測試項目,Target,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,M1,M2,M3,M5,M6,M7,M8,M9,,,,
八禿-他逋-班掏-貪包,pa 55-tʰu 55-tʰa 55-pu 55-pan 55-tʰaw 55-tʰan 55-paw 55,pa 55-nu 51-x y-x y-x y-x y-x y-x y,pa 55-tʰu 55-pan 55-pu 55-tʰa 55-tʰu 55-x y-x y,pa 55-tʰu 55-na 55-tʰu 55-x y-x y-lan 51-tʂaw 51,pa 55-tʰu 55-tʰa 55-pu 55-tʰan 55-tʰaw 55-pa 51-tʰu 55,pa 55-tʰu 55-tʰa 55-pu 55-x y-x y-x y-x y,pa 55-pu 55-tʰa 55-tʰu 55-x y-x y-x y-x y,pa 55-tʰu 55-la 51-tʰu 55-paw 55-tʰaw 55-x y-x y,pa 55-lu 55-tʰa 55-pʰu 55-nan 55-paw 55-x y-x y,paw 55-tʰu 55-tʰaw 55-pu 55-nan 51-tʰaw 51-tʰan 55-paw 55,pa 55-tʰu 55-tʰa 55-pu 55-tan 55-pʰu 55-tʰan 35-paw 55,pa 55-tʰu 55-pa 55-tsu 55-pʰan 55-tsu 55-x y-x y,tʰa 55-tsu 55-pa 55-tsu 55-tan 55-tʰaw 55-tʰan 55-tʰaw 55,pa 55-tʰu 55-tʰa 55-tu 55-pa 55-tʰu 55-tʰa 55-ʐu 51,pa 55-tʰu 55-tʰa 55-pu 55-x y-x y-tʰan 55-paw 55,pa 55-tʰu 55-tʰan 55-tʰu 55-ta 55-tʰu 55-tʰan 55-tʰaw 55,pa 55-tʰu 55-tʰan 55-tʰu 55-tʰa 55-paw 55-pa 55-tʰu 55,pa 55-tʰaw 55-tʰa 55-ʐən 35-x y-tʰaw 55-tʰan 55-x y,pa 55-tʰu 55-tʰa 55-pu 55-pan 55-pʰu 55-pan 55-pʰu 55,pa 55-tʰu 55-tʰan 55-pʰu 55-nan 35-pʰu 55-paj 35-tʰaw 55,pa 55-tʰu 55-tʰa 55-pu 55-pa 51-tu 51-nan 35-tʰaw 35,pa 55-tʰu 55-tʰan 55-tʰu 55-nan 51-tʰu 55-man 55-tʰaw 55,,,,
塌書-沙禿-攤稍-山滔,tʰa 55-ʂu 55-ʂa 55-tʰu 55-tʰan 55-ʂaw 55-ʂan 55-tʰaw 55,tʰa 55-ʂu 55-ʂa 55-tʰu 55-x y-x y-x y-x y,tʰa 55-ʂu 55-tʰan 55-tʰu 21-x y-x y-san 55-sa 55,tʰa 55-ʂu 55-ʂan 55-tʰu 55-tʰa 55-tʰu 55-x y-x y,san 55-tʰu 55-nan 55-tʰu 55-nan 35-ʂaw 55-tʰu 55-x y,tʰa 55-pu 55-x y-x y-x y-x y-x y-x y,tʰa 55-tʰu 55-san 55-x y-x y-x y-ʂan 55-tʰaw 55,tʰa 55-ʂu 55-x y-x y-san 55-tʰaw 55-na 51-tʰaw 55,tʰa 51-ʂu 55-la 51-ʂu 55-ʂan 55-tʰu 55-tʰan 55-ʂa 55,tʰaw 55-ʂu 55-ʂa 55-tʰu 55-tʰan 55-ʂaw 55-ʂa 55-tʰu 55,tʰa 55-ʂu 55-tʰa 55-pu 55-ʂan 55-ʂu 55-ʂan 55-tʰaw 55,pan 55-tsu 55-ʂa 55-tʰu 55-ʂan 55-tʰu 55-tʂʰan 55-tʰu 55,ʂan 55-ʂu 55-na 55-ʂu 55-ʂan 55-tʰaw 55-ʂan 55-tʰu 55,tʰa 55-ʂu 55-ʂa 55-tʰu 55-tʰa 55-tʂʰu 55-ʂan 55-ʂu 55,tʰa 55-ʂu 55-ʂan 55-tʰaw 55-ʂan 55-tʰu 55-x y-x y,tʰa 55-tu 55-tʰan 55-tu 55-tʰan 55-tʰaw 55-ʂan 55-tʰaw 55,tʰa 55-ʂu 55-ʂan 55-ʂu 55-ʂan 55-tʰaw 55-tʰa 55-tʰaw 55,x y-x y-ʂa 55-tʰu 55-tʰa 55-ʂaw 55-x y-x y,tan 55-ʂu 55-tʰa 55-su 55-tʰan 55-tʰu 55-ʂan 55-tʰaw 55,tʰa 55-ʂu 55-ʂa 55-tʰu 55-san 55-tʰu 55-nan 35-tsaw 55,tʰa 55-ʂu 55-ʂa 55-tʰaw 55-nan 35-tʰaw 55-ʂan 55-tʰaw 55,tʰa 55-ʂu 55-ʂan 55-tʰu 55-ʂan 55-tʰan 55-sa 55-tʰaw 55,,,,
颯穆-罵宿-散冒-曼臊,sa 51-mu 51-ma 51-su 51-san 51-maw 51-man 51-saw 51,sa 51-nu 51-ma 51-su 51-sa 51-maw 51-x y-x y,sa 51-mu 51-man 51-su 51-sa 51-maw 51-x y-x y,sa 51-mu 51-san 51-mu 51-san 51-taw 51-x y-x y,sa 51-mu 51-ma 51-su 51-nan 51-tsaw 51-ma 51-saw 51,foŋ 55-tʰu 55-x y-x y-x y-x y-x y-x y,sa 55-mu 51-man 51-su 51-san 51-tʰaw 51-x y-x y,na 51-su 51-ma 51-tʰu 51-sa 51-maw 51-x y-x y,sa 51-mu 51-ma 51-su 51-x y-x y-x y-x y,su 51-mu 51-ma 51-su 51-san 51-maw 51-man 51-tsaw 51,sa 51-mu 51-tʰa 51-su 51-man 51-fu 51-san 51-saw 51,san 51-pʰu 51-ma 51-su 51-man 51-saw 55-nan 35-tʰaw 35,san 51-su 51-ma 51-su 51-nan 51-su 51-man 51-tsu 35,sa 51-mu 51-man 51-su 51-ʂan 55-mu 51-man 51-mu 51,sa 51-mu 51-x y-x y-san 51-maw 51-x y-x y,sa 51-mu 51-la 51-su 51-san 51-mu 51-san 51-tsaw 51,sa 51-mu 51-man 51-su 51-sa 51-naw 51-man 51-naw 51,su 51-sa 51-san 55-nu 35-x y-x y-x y-x y,su 51-mu 51-tʰa 55-nu 51-tʰa 51-saw 51-man 51-saw 51,sa 51-mu 51-man 51-su 51-nan 35-tʰu 55-nan 35-tsaw 51,sa 51-mu 51-nan 35-su 51-san 51-maw 51-man 51-saw 51,sa 51-mu 51-man 51-su 51-man 51-nu 51-san 51-tʰaw 51,,,,
罷瀑-怕不-辦泡-盼報,pa 51-pʰu 51-pʰa 51-pu 51-pan 51-pʰaw 51-pʰan 51-paw 51,pa 51-pʰu 51-pʰa 51-pu 51-pan 51-pʰaw 51-x y-x y,pa 51-pʰu 51-pʰa 51-pu 51-man 51-pʰaw 51-pa 51-x y,sa 51-pu 51-pʰan 51-pʰu 51-ma 51-pu 51-x y-x y,pa 51-pu 51-pʰa 51-pu 51-man 51-paw 51-pʰan 51-paw 51,pa 51-pʰu 51-x y-x y-x y-x y-x y-x y,pa 51-pu 51-pʰa 51-pu 51-x y-x y-x y-x y,ma 51-pu 51-pa 55-pu 51-x y-x y-pʰan 51-mu 51,tʰa 51-pu 51-pan 51-pʰu 51-pan 51-pʰaw 51-x y-x y,pa 51-pu 51-pʰaw 51-pu 51-man 51-pu 51-san 51-pu 51,pʰa 51-pu 51-pʰa 51-pu 51-pan 51-pu 51-pʰa 51-paw 51,ma 51-pu 51-ma 51-pu 51-pan 51-pʰaw 55-pa 51-su 51,san 51-su 51-pʰa 51-pʰu 51-pʰu 51-pu 51-pʰu 51-tʰaw 35,pa 51-pu 51-pʰan 51-pu 51-pʰa 51-pʰu 51-man 51-mu 51,pa 51-pʰu 51-pʰa 51-pu 51-san 51-paw 51-x y-x y,pa 51-pu 51-tʰa 51-pu 51-pa 51-pu 51-tʰan 55-pʰu 55,pan 51-nu 51-ma 51-mu 51-x y-x y-x y-x y,x y-pʰu 51-pʰa 51-x y-pan 51-pʰaw 51-x y-x y,tʰa 51-pu 51-tʰa 51-pu 51-mu 51-pu 51-ma 51-pu 51,pʰa 51-pu 51-pan 51-pu 51-man 51-pu 51-nan 35-pʰaw 51,pa 51-pʰu 51-pʰan 51-pu 51-nan 35-pu 51-san 51-pu 51,pa 51-pʰu 51-pan 51-pʰu 51-pʰaw 51-pu 51-pʰan 51-paw 51,,,,
雜奴-拿族-咱撓-南鑿,tsa 35-nu 35-na 35-tsu 35-tsan 35-naw 35-nan 35-tsaw 35,tsa 35-nu 35-na 35-tsu 35-tsan 35-ʐaw 51-x y-x y,tsa 35-nu 35-nan 35-nu 35-nan 35-naw 35-x y-x y,tsa 35-nu 35-na 35-nu 35-tsan 35-naw 35-na 35-naw 35,tsa 35-nu 35-nan 35-tsu 35-tsan 35-naw 35-x y-x y,tsa 35-nu 35-na 35-tsu 35-tsan 35-naw 35-x y-x y,tsa 35-nu 35-x y-x y-x y-x y-x y-x y,na 35-nu 35-x y-x y-x y-x y-nan 35-tsaw 35,tsa 35-nu 35-nan 35-nu 35-tsa 35-tsaw 35-nan 35-x y,tsa 35-ʐu 35-nan 35-tsu 35-tsa 35-tsaw 35-tsan 35-nan 35,sa 51-nu 51-tsan 35-tsu 35-pʰan 35-tsu 35-nan 35-man 35,tsa 35-nu 35-na 35-lu 35-nan 35-nu 35-nan 35-tsaw 35,tsan 35-nu 35-na 35-tsu 35-tsan 35-naw 35-nan 35-tsaw 35,tsa 35-nu 35-nan 35-tsaw 35-tsa 35-nu 35-nan 35-tsaw 35,tsa 35-nu 35-nan 35-nu 35-sa 51-nu 51-nan 35-tsaw 35,pa 51-pu 51-tsan 35-pu 51-tsa 35-lan 51-tsan 35-ʐaw 35,tsan 35-nu 35-na 35-tsu 35-tsan 35-mu 51-x y-x y,tʰa 35-tu 35-na 35-tsu 35-tsan 35-tsa 35-tʰu 35-nan 35,tsa 35-nu 35-na 35-tsu 35-tsan 35-nu 35-tsan 35-tʰaw 55,tsa 35-nu 35-man 51-tsaw 51-tsan 35-pʰu 51-man 51-pʰaw 51,tsa 35-nu 35-nan 35-tsu 35-nan 35-tsaw 35-nan 35-saw 35,tsa 35-nu 35-nan 35-tsu 35-x y-x y-nan 35-tʰaw 35,,,,
罵怒-那木-慢鬧-難冒,ma 51-nu 51-na 51-mu 51-man 51-naw 51-nan 35-maw 51,ma 51-mu 51-na 51-mu 51-na 51-na 35-x y-x y,ma 51-nu 51-na 51-mu 51-x y-x y-nan 35-maw 51,na 35-nu 35-na 51-mu 51-lan 51-mu 51-nan 35-mu 51,pa 51-lu 51-na 51-mu 51-man 51-naw 51-na 51-mu 51,ma 51-mu 51-na 51-nu 51-x y-x y-x y-x y,x y-x y-x y-x y-x y-x y-x y-x y,ma 51-nu 51-x y-x y-man 51-naw 51-x y-x y,ma 51-nu 51-nan 51-mu 51-nan 35-mu 51-nan 35-maw 51,ma 51-nu 51-nan 51-mu 51-na 51-mu 51-nan 35-maw 51,ma 51-nu 51-pʰa 51-pu 51-man 51-mu 51-nan 35-maw 51,ma 51-nu 51-na 51-mu 51-na 51-mu 51-nan 51-maw 51,tsan 51-mu 51-na 51-nu 51-nan 35-naw 35-ma 51-naw 51,ma 51-nu 51-na 51-mu 51-nan 35-nu 51-na 51-mu 51,ma 51-nu 51-na 51-mu 51-x y-x y-maw 51-nan 35,ma 51-mu 51-ma 51-mu 51-nan 35-mu 51-maw 51-tsaw 35,ma 51-nu 51-na 51-mu 51-man 51-naw 51-nan 35-tsaw 51,ma 51-nu 51-na 51-mu 51-nu 35-nan 35-nan 35-maw 51,ma 51-nu 51-na 51-mu 51-man 51-naw 51-man 51-naw 51,ma 51-nu 51-nan 35-mu 51-x y-x y-nan 35-tsaw 51,ma 51-nu 51-na 51-mu 51-nan 35-naw 51-nan 35-maw 51,ma 51-nu 51-nan 51-mu 51-man 51-nu 51-na 51-naw 51,,,,
罵錄-臘幕-慢烙-濫貌,ma 51-lu 51-la 51-mu 51-man 51-law 51-lan 51-maw 51,na 51-mu 51-man 51-mu 51-na 51-naw 35-x y-x y,ma 51-lu 51-la 51-mu 51-ma 51-x y-x y-x y,ma 51-mu 51-nan 51-mu 51-nan 51-mu 51-na 35-nu 35,pa 51-lu 51-ma 51-lu 51-nan 51-maw 51-lan 51-maw 51,ma 51-lu 51-na 51-mu 51-x y-x y-x y-x y,ma 51-lu 51-man 51-mu 51-lan 51-nu 51-x y-x y,ma 51-nu 51-lan 51-mu 51-na 51-u 51-x y-x y,ma 51-lu 51-la 51-mu 51-lu 51-mu 51-x y-x y,ma 51-lu 51-lan 51-mu 51-man 51-lu 51-nan 35-law 51,ma 51-nu 51-na 51-mu 51-man 51-mu 51-lan 51-tsaw 51,ma 51-nu 51-lan 51-mu 51-man 51-naw 51-nan 35-maw 35,ma 51-lu 51-man 51-naw 51-lan 51-law 51-la 51-law 51,man 51-lu 51-ma 51-mu 51-man 51-maw 51-na 35-mu 51,ma 51-lu 51-ma 51-naw 51-san 51-naw 51-ma 51-nu 51,ma 51-mu 51-lan 51-mu 51-ma 51-mu 51-man 51-maw 51,ma 51-nu 51-lan 51-mu 51-man 51-law 51-nan 35-law 51,ma 51-nu 51-naw 35-nu 35-man 51-naw 51-nan 35-naw 51,man 51-nu 51-na 51-mu 51-lan 51-mu 51-laŋ 51-mu 51,ma 51-nu 51-man 51-nu 51-lan 51-mu 51-nan 35-maw 51,ma 51-mu 51-la 51-mu 51-nan 35-maw 51-x y-x y,ma 51-nu 51-lan 51-mu 51-na 51-mu 51-lan 51-maw 51,,,,
詐木-罵柱-占貿-曼罩,tʂa 51-mu 51-ma 51-tʂu 51-tʂan 51-maw 51-man 51-tʂaw 51,na 51-mu 51-tʂan 51-mu 51-x y-man 51-tʂa 51-man 51,tʂa 51-mu 51-ma 51-tʂu 51-x y-x y-nan 35-tʂaw 51,tʂa 51-mu 51-lan 51-mu 51-na 51-tʂaw 51-man 51-tʂaw 51,tʂa 51-mu 51-man 51-tʂu 51-tʂan 51-maw 51-tʂan 51-maw 51,tʂa 51-mu 51-na 51-tʂu 51-x y-x y-x y-x y,tʂa 51-mu 51-ma 51-tʂu 51-tʂan 51-maw 51-x y-x y,na 51-mu 51-man 51-mu 51-tʂa 51-mu 51-na 51-maw 51,tʂa 51-mu 51-tʂan 51-mu 51-tʂan 51-maw 51-nan 35-maw 51,tʂa 51-mu 51-na 51-mu 51-lan 51-mu 51-man 51-tʂaw 51,tʂa 51-mu 51-ma 51-tʂu 51-man 51-mu 51-man 51-tʂaw 51,tʂa 51-nu 51-na 51-mu 51-man 51-tʂaw 51-nan 51-mu 51,tʂan 51-mu 51-ma 51-tʂu 51-man 51-maw 51-maw 51-kɤ 35,tʂa 51-mu 51-man 51-tʂaw 51-man 51-mu 51-tʂa 51-mu 51,tʂa 51-mu 51-tʂa 51-mu 51-x y-x y-man 51-tʂaw 51,ma 51-mu 51-man 51-mu 51-tʂan 51-mu 51-maw 51-tʂaw 51,tʂa 51-mu 51-man 51-mu 51-tʂan 51-maw 51-ma 51-tʂaw 51,mu 51-nan 35-ma 51-tʂu 51-tʂan 51-maw 51-nan 35-kwɔ 51,tʂa 51-mu 51-ma 51-tʂu 51-tʂan 51-tʂu 51-ma 51-tʂu 51,tʂa 51-mu 51-man 51-tʂu 51-tʂwɔ 51-mu 51-man 51-tsaw 51,tʂa 51-mu 51-nan 35-mu 51-x y-maw 51-x y-x y,tʂa 51-mu 51-man 51-tʂu 51-lan 51-mu 51-man 51-naw 51,,,,
納路-辣怒-難烙-爛鬧,na 51-lu 51-la 51-nu 51-nan 35-law 51-lan 51-naw 51,na 51-lu 51-x y-x y-nan 35-law 51-ma 51-x y,ta 51-lu 51-la 51-lu 51-nan 35-law 51-x y-x y,lan 51-mu 51-na 51-mu 51-nan 35-mu 51-lan 51-mu 51,na 51-nu 51-na 51-nu 51-nan 35-naw 51-lan 51-naw 51,tʂa 51-mu 51-na 35-tʂu 51-x y-x y-x y-x y,na 51-lu 51-la 51-lu 51-x y-x y-x y-x y,ma 51-mu 51-nan 51-nu 51-nan 35-tʂaw 51-nan 51-naw 51,na 51-lu 51-la 51-lu 51-nan 35-lu 51-nan 51-lu 51,tʂa 51-lu 51-lan 51-lu 51-nan 35-naw 51-lan 51-maw 51,ma 51-mu 51-na 51-mu 51-nan 35-mu 51-lan 51-naw 51,nan 51-nu 51-nan 51-maw 51-na 51-tsa 35-na 51-mu 51,na 51-lu 51-na 51-lu 51-nan 51-law 51-nan 51-naw 51,na 51-lu 51-nan 35-naw 51-tʂa 51-nu 51-nan 35-nu 51,na 51-nu 51-na 51-nu 51-nan 51-nu 51-na 51-nu 51,ma 51-mu 51-tʂa 51-mu 51-tʂan 51-lu 51-tʂan 51-la 51,na 51-lu 51-nan 51-lu 51-nan 35-lu 51-nan 51-tu 51,naw 35-nu 35-x y-nu 51-nu 51-naw 51-x y-naw 51,na 51-nu 51-la 51-nu 51-naj 51-nu 51-man 51-nu 51,na 51-lu 51-na 51-nu 51-nan 35-nu 51-nan 35-tsaw 51,na 51-lu 51-lan 51-nu 51-nan 51-mu 51-nan 35-nu 51,na 51-mu 51-la 51-nu 51-na 51-nu 51-lan 51-naw 51,,,,
霸束-霎布-拌劭-善爆,pa 51-ʂu 51-ʂa 51-pu 51-pan 51-ʂaw 51-ʂan 51-paw 51,x y-x y-tʂa 51-pu 51-x y-x y-x y-x y,pa 51-pu 51-x y-x y-x y-x y-x y-x y,man 51-mu 51-na 51-mu 51-nan 35-tʂaw 51-nan 35-mu 51,pan 51-pu 51-ʂa 51-tʂu 51-ʂan 51-ʂaw 51-x y-x y,x y-x y-x y-x y-x y-x y-x y-x y,pa 51-ʂu 51-san 51-pu 51-pan 51-tʂaw 55-x y-x y,pa 51-ʂu 51-paw 51-ʂu 51-x y-x y-paw 51-nu 51,pa 51-ʂu 51-ʂa 51-pu 51-nan 35-ʂaw 51-x y-x y,pan 51-tʂu 51-ʂaw 51-lu 51-pan 51-tɕjɛ 35-ʂa 51-lu 51,pa 51-pu 51-ʂa 51-ʂu 51-ʂan 51-pu 51-ʂan 51-paw 51,pa 51-ʂu 51-san 51-pu 51-san 51-maw 51-san 51-law 51,na 51-ʂu 51-ʂaw 51-ʂu 51-pan 51-ʂaw 35-tʂan 51-ʂaw 35,la 51-lu 51-lan 51-paw 51-ma 51-ʐu 51-nan 35-nu 51,pa 51-nu 51-ma 51-nu 51-x y-x y-ʂan 51-paw 51,pa 51-ʂu 51-ɕjɛn 21-ʂu 51-pan 51-ʂu 51-x y-x y,pa 51-ʂu 51-tʂʰan 51-pʰu 51-pan 51-ʂaw 51-nan 35-ʂaw 51,x y-x y-x y-x y-x y-x y-saŋ 51-pan 51,man 51-pu 51-man 51-saw 51-pan 51-ʂaw 51-lan 51-saw 51,pa 51-tʂu 51-san 51-pu 51-nan 35-mu 51-nan 35-tsaw 51,pa 51-ʂu 51-san 51-mu 51-nan 35-nu 51-nan 51-pu 51,pa 51-tsʰu 51-man 51-tsʰu 51-lan 51-mu 51-ʂan 51-x y,,,,
大搙-鈉菟-淡鬧-難稻,ta 51-nu 51-na 51-tʰu 35-tan 51-naw 51-nan 35-taw 51,ta 51-pu 51-x y-tʰu 51-x y-x y-x y-x y,ta 51-tu 51-na 51-tu 51-tan 51-naw 51-x y-x y,tʂan 51-mu 51-na 51-mu 51-nan 35-taw 51-nan 35-taw 51,ta 51-lu 51-nan 51-tʰu 51-x y-x y-nan 35-taw 51,x y-x y-x y-x y-tan 51-naw 51-x y-x y,ta 51-nu 51-nan 51-tʰu 51-ta 51-tʰu 51-x y-x y,ta 51-nu 51-nan 51-tʰu 51-tan 51-naw 51-nan 35-taw 51,tan 51-nu 51-na 51-tʰu 51-ta 51-naw 51-nan 35-naw 51,tʂa 51-lu 51-na 51-tʰu 51-tan 51-naw 51-man 51-pʰu 51,pa 51-pu 51-tʂʰa 51-ʂu 51-tan 51-naw 51-nan 35-paw 51,ta 51-nu 51-na 51-pu 51-na 51-tʰu 51-nan 51-mu 51,ta 51-nu 51-nan 51-tʰu 51-tan 51-naw 51-tan 51-ʂaw 35,ta 51-tʰu 51-nan 35-naw 51-tan 51-naw 51-nan 35-nu 51,tʰa 51-nu 51-na 51-nu 51-san 51-naw 51-nan 35-taw 51,na 51-lu 51-tʰan 51-tʰu 51-tan 51-naw 51-x y-x y,ta 51-nu 51-nan 51-nu 51-tan 51-naw 51-nan 35-taw 51,ta 51-nu 51-x y-nan 51-tʰaw 51-naw 51-nan 35-x y,ta 51-nu 51-na 51-tu 51-na 51-saw 51-lan 51-saw 51,ta 51-nu 51-man 51-lu 51-x y-x y-x y-x y,ta 51-nu 51-tan 51-nu 51-x y-x y-x y-x y,ta 51-nu 51-nan 51-tʰu 51-tan 51-taw 51-nan 35-naw 51,,,,
搭粗-擦嘟-單糙-餐叨,ta 55-tsʰu 55-tsʰa 55-tu 55-tan 55-tsʰaw 55-tsʰan 55-taw 55,x y-x y-x y-x y-x y-x y-x y-x y,x y-x y-tsʰa 55-tu 55-tan 55-tsu 55-x y-x y,tan 51-mu 51-na 35-mu 51-nan 35-taw 51-tsʰan 55-tʰaw 51,tʰa 55-tsʰu 55-tʰa 55-tsʰu 55-tʰan 55-taw 55-tsʰan 55-taw 55,ta 55-tsʰu 55-tsʰa 55-tu 55-x y-x y-x y-x y,x y-x y-x y-x y-x y-x y-x y-x y,ta 55-tsu 55-tsʰa 55-tu 55-nan 35-taw 55-ta 51-taw 55,tʰa 55-tsʰu 55-tsʰa 55-tu 55-tan 55-tsʰaw 55-tan 55-tsʰu 55,na 51-tsʰu 51-tsʰa 51-tʰu 51-tan 55-tsʰaw 55-tsʰan 55-tjaw 55,pa 51-pu 51-tʂʰa 51-tʂʰu 51-tʂʰan 55-taw 55-nan 35-taw 55,tʰa 55-su 55-tsʰan 55-pʰu 55-na 51-pu 51-ta 51-pu 51,ta 55-tsʰu 55-tsʰan 55-tʰu 55-tan 55-tʰu 55-tsʰan 55-tʰaw 35,ta 55-tsʰu 55-tan 55-taw 55-ta 51-tʰu 51-nan 35-naw 51,tʰa 55-nu 51-nan 51-su 51-san 51-nu 51-tsʰan 55-taw 55,ta 51-tsu 51-tsʰa 51-tsu 51-tsʰan 55-tsʰu 55-tsʰan 55-taw 55,tʰa 55-tsʰu 55-tsʰan 55-tu 55-tʰa 55-tsʰaw 55-tsʰan 55-taw 55,x y-tsʰan 55-tsʰa 55-x y-tan 55-tsʰaw 55-x y-x y,tʰa 55-tsu 55-ta 55-tsu 55-na 51-tsu 55-tsʰan 55-taw 55,ta 55-tsʰu 55-lan 55-tsʰu 55-san 55-tsʰu 55-tsʰan 55-tjaw 55,tan 55-tsʰu 55-tsʰa 55-tu 55-x y-x y-tsʰan 55-taw 55,ta 55-tsʰu 55-tsʰan 55-tʰu 55-x y-x y-tsʰan 55-taw 55,,,,
帕肅-撒曝-畔臊-散炮,pʰa 51-su 51-sa 55-pʰu 51-pʰan 51-saw 55-san 51-pʰaw 51,pʰa 51-su 51-sa 55-pʰu 51-ta 51-nu 51-x y-x y,pʰa 51-su 51-x y-x y-pʰan 51-saw 55-x y-x y,paŋ 51-mu 51-na 35-mu 51-x y-x y-x y-x y,tʰa 51-tʂu 51-san 51-pʰu 51-san 51-pʰaw 51-san 51-pʰaw 35,pʰa 51-su 51-x y-x y-x y-x y-x y-x y,pʰa 51-su 51-sa 55-pʰu 51-x y-x y-x y-x y,pʰa 51-su 51-sa 55-pʰaw 51-x y-x y-x y-x y,x y-x y-x y-x y-x y-x y-x y-x y,pʰa 51-su 51-san 51-pʰu 51-pan 51-tsaw 51-pʰu 51-paw 51,pʰa 51-pu 51-sa 51-su 51-pʰan 51-pʰaw 51-san 21-pʰaw 51,pʰa 51-su 51-san 51-pu 51-pan 51-pʰaw 51-pan 51-tsaw 35,sa 51-su 51-pan 51-pʰu 51-pʰu 51-tsʰu 51-tsʰu 51-naw 35,pʰa 51-tʂʰu 51-pa 51-pʰu 51-tʰa 55-tʂʰu 51-man 35-paw 55,pʰa 51-sa 21-tsan 51-nu 51-nan 51-tsʰu 51-na 51-sɨ 51,pʰa 51-pu 51-tʂa 51-lu 51-san 51-lu 51-san 55-tʰaw 55,pʰa 51-su 51-sa 55-pʰu 51-pʰan 51-su 51-sa 51-pʰaw 51,x y-x y-x y-x y-x y-x y-sa 55-pʰaw 51,pʰa 51-su 51-na 51-su 51-pʰan 51-saw 55-pan 51-saw 51,pʰa 55-tsʰu 55-sɑn 51-paw 51-nan 35-tsʰu 55-an 35-tsaw 51,pa 51-tʂʰu 51-nan 35-tsʰu 51-sa 51-paw 51-san 51-pʰaw 51,pʰa 51-su 51-san 51-x y-nan 51-mu 51-lan 51-pʰaw 51,,,,
趴初-插撲-攀超-摻拋,pʰa 55-tʂʰu 55-tʂʰa 55-pʰu 55-pʰan 55-tʂʰaw 55-tsʰan 51-pʰaw 55,pʰa 55-tʂʰu 55-x y-x y-x y-x y-x y-x y,pʰa 55-tʂʰu 55-pan 55-tsʰu 55-x y-tʂʰaw 55-x y-x y,pan 51-mu 51-na 35-pʰu 51-pʰan 55-tʂʰaw 55-pʰaw 55-tʂʰaw 55,pʰa 55-tʂʰu 55-tsʰan 55-pʰu 55-tsʰan 55-tsʰaw 55-tsʰan 51-pʰaw 55,x y-x y-x y-x y-pʰan 55-tʂʰaw 55-sa 55-x y,pʰa 55-tʂʰu 55-tʂʰa 55-pʰu 55-pan 55-tʂʰaw 55-x y-x y,pʰa 55-tʂʰu 55-tsʰan 55-pʰaw 55-pa 51-tsʰu 55-nan 51-pʰaw 55,pʰa 55-tʂʰu 55-tʂʰan 55-tʂʰaw 55-pʰan 55-tʂʰaw 55-tsʰaw 55-paw 55,pʰa 55-tʂʰu 55-tʂʰaw 55-tʂʰu 55-pʰa 51-lu 51-tsʰan 51-pʰaw 55,pʰa 51-tʂʰu 51-tʂʰa 51-pu 51-pʰan 55-tʂʰu 55-tsʰan 51-tʂʰaw 55,pʰa 55-tʂʰu 55-tʂʰa 55-pʰu 55-pʰan 55-tʂʰaw 55-pʰan 55-tsaw 35,pʰan 55-tʂʰu 55-tʂʰa 55-tʂʰu 55-pʰan 55-tʂʰaw 55-tʂʰaw 55-tʰaw 55,pʰa 55-pʰu 55-nan 35-tʂaw 55-tʰa 55-tʰu 55-x y-x y,pʰa 51-nu 51-sa 51-na 51-tsʰan 55-tsaw 55-x y-x y,pʰa 51-pu 51-pʰa 21-pʰu 35-tʂʰan 55-tʂʰu 55-ʂan 55-tʂʰaw 55,pʰan 55-ʂu 55-tʂʰa 55-pʰu 55-pʰan 55-tʂʰaw 55-tsʰan 51-tʂʰaw 55,x y-tʂʰu 55-tʂʰa 55-x y-pʰan 55-taw 35-x y-x y,pʰa 55-tʂʰu 55-pʰan 55-tsʰu 55-pʰan 55-fu 55-pʰən 55-fu 51,pʰa 55-tʂʰu 55-tsʰan 55-pʰu 55-tsʰan 55-tʂʰaw 55-nan 35-saw 55-nan 35-pʰa 55,pʰa 55-tʂʰu 55-nan 35-tsʰu 55-x y-x y-tsʰan 51-paw 55,pʰa 55-tʂʰu 55-tʂʰa 55-tsʰu 55-na 55-mu 55-pʰan 55-tʂʰaw 55,,,,
